Card_Type_Code,Card_Type_Full_Name,Issuing_Bank,Card_Number,Card_Holders_Name,CVV_CVV2,Issue_Date,Expiry_Date,Billing_Date,Card_PIN,Credit_Limit
EO,Elo,U.S. Bancorp,ASrr1LvHPu9XfkWYgBIVkh39Q3QWIsWC1poFvVg00akCiht9yY6rAPgC9/rGHH++7Q==,ASrr1Lttfz/ACo/CdIvCLThCy/gr8UnZ9TGi28aQxRyUPR8aMtlhxiXwsbCKDvI0iz8=,ASrr1LuRCG5ybAW7WYfBAZ97ieVf9bEFSAouFBoBvJiuTqWy,11/2013,ASrr1LtACbW8TCdUjRWzgGABimz4zSHbrXdfJ+oJxtkW+N8RXnoYTg==,15,ASrr1Lsj0OYb+p0flJQbwn4q3r9+KE+b+Qhr2jGhcRhYsyFzZA==,ASrr1LtMK81hIA8gjP3IfiIhz5ihorOk64fBBAbQ4dNcfeigbBk1
DC,Diners Club,Diners Club International,ASrr1LsdAeLr+7XrIMAkatzapGsRXbod+gKm74I3mu3PUvOrswAxFnSr0upiSE5HWg==,ASrr1LvqWtiLpzRGOhw16W2XvnxuhuzGRyCnlgPukVUpl/Cl/qBaFU4JfH/IVw==,ASrr1LvkapA6yw02D9xUS0WRZUN9rXGe8ZoFaBVuAQMPSoCe,03/2008,ASrr1Ls1X8VjmIWa3UGyvf1EWNGJ2g4BqTM6/tEWERVUEkK9ZL/A5g==,13,ASrr1LtzFc8Fep/S/yqFY8iIHNs5Z8jlKt7/H0He571uwMsHeg==,ASrr1LuYzZWbWnQUc+ZvpZqB+m7rNjhJ0p5zD8zfTz9TdBsQIREh
EO,Elo,Bank of America,ASrr1LuiqUSzh1lFZPljUq16+AxtfdjuHsyEgSutqHt9M2nwhaFAataIPFuOo2Xi,ASrr1LupR1OQeh/Tak+K1Agnjsps378ydJkNOMRQV9u9QRod68UhE3BD8mPK3Q==,ASrr1LurDBbdrkWNrwsKAfXJ8kiaDLrzlc6lB/PMORblB0u8,07/2004,ASrr1Ls+rhs09VbXSbaKITqplVl1RRmksGSopCzkIvqbzQ9Q0nzLpw==,22,ASrr1LsJHF2YPb1jgQtgjBXfw4Ft1oAsw1OaBi9ea2ZyLDw5JQ==,ASrr1Ltp2A9dI+P4kAR5mTxh83BygFGipb+wRwpy31j0OspieIr5
MC,Mastercard,Wells Fargo,ASrr1LvejR7JTCQBVI/s7ICKFiT98VZ/QqrgVnIYwXJsrXo6pj67NzBUji37Nq60,ASrr1LufNFqgHkmHRnSZfS+35do3lLylcWOIsgd0E0npFk60VmlzaOMw,ASrr1LubUAM4aMVgclgEJGMp2t99MbD0Lwv1/O/sIrQMkpjL,06/2008,ASrr1LtiRGIeMCFcv9O3E2w/NL7YxQ/K9w3oCT3fAnM4b9k9Ybn/DQ==,25,ASrr1LtQx2Jid+UI42GEPSiUkNVXrPn4JTnx9y6mqnwFeh2wYA==,ASrr1LuAGLoqxIGpqvGXTG0rKzAvEc5cYjNROZzuyTE5U6YKMA==
MT,Maestro,Barclays,ASrr1Lu6lyTP5QoEWKtp4XIeFGRSNwF/jgkJqx/4UhS57wdW14gcdAk27jyLM5ag,ASrr1Lvj18Qi9gbDxl4P3YO8Nd5+bsHipmKjpZBPx/mhckUwQ/EIsKOVfJ4=,ASrr1Lu/iO8rAtiw5v5y+Beg1hKog5I3NNsmSKY2bYz7Q7Uk,09/2009,ASrr1LsFHxEriK0/AOqs245C7irmnUwVSiW/yTWrPFzVdT1C58RH3g==,21,ASrr1LumGO2bBabEW13Y5okMcDO2xmbZWKNADx9onEM+snhlvA==,ASrr1LtjENJfTquZxCZXa55d4jB5GmLdjX6LNh3QDh6SLkpr6xIu
HC,Hipercard,Wells Fargo,ASrr1Lvd9q5Ul+p7ZSbTQh6/YghuM7MGNoQLouWyjpWhTC1NNO/XnX2ziR5lUm9yBw==,ASrr1Ltv2gYCzXDSLI5ERopEttfgO9yrzMnO7B7gABK6jCqUYSoSlWLjHKosU+zkYf8R1g==,ASrr1LvwsITcSmftpZdwTMazi3UKiPad1zotZoehyaCMrzZA,06/2009,ASrr1LtXYXSesehCYTJGDWQ6XjUHq4RT4XzSr3a2bRkXTZWmZJ4fgw==,27,ASrr1LuuFzs7pzWCOgaPBu4+wpCSUzKQPQs4rNLpCM+pa/iVfA==,ASrr1Lu0IQI6csrPmV0bMhNdV3LzituuJLDPZCIcBrB2m2xe6qUn
MC,Mastercard,Chase,ASrr1Lt4HBc3AgkifE8ogYHnJrKUBFMa4HHv37jy2IaNYQCsQ2JcJsKb4UGQQ3DINg==,ASrr1LumyrMj3L6+50R3kp8/O8PfBOAunS/X4GymWN7gq0v1liHRzNAtdQ==,ASrr1LtEWjCqG3BoPZu1cIv9HDPmtBvgK7n24RKl5sKhJ/wE,09/2020,ASrr1LuEhPlzROO3AeiFQBPyAlrWr/PbkmDCTv1vMXLxJThzW3Inqg==,22,ASrr1Ls9ZrP+qCXFqLtqfeXY7uYBCIME0wDGLMmmoCYVRF7Ytg==,ASrr1LuL3fQiw0LVLMxd4c/zp3PGK/n1aHeGINX8xUcyxqL5iWM=
EO,Elo,Bank of America,ASrr1LtBT217v82fCKVxP5nxJ7WI/jH5SJi06vLOTn6nFGmYY6lgZkJaLAC4xMtrGA==,ASrr1LvFsGDpUHc6n6+7hAp0xYiXuNaLlDq5uImv+xoMODfGT1P7SOPomwc=,ASrr1LvdqqQbGQTJW2/E1+dmh/M75K8+bUZzESeZ6uywCcLm,08/2018,ASrr1LsM6RBDlJqHycnOVbgzfHg5k6Sz1YqM2Jq9+R0dGm6PU+RzJg==,7,ASrr1Lv7fzNQcKbKhayo6k02ix6Y8iSPEgGIc8tn+b/8w2mTzg==,ASrr1Lsx9nO0mjuX2XHc78PQONvqAf8erZHm1YWicYs4m7b7hVKg
HR,Hiper,U.S. Bancorp,ASrr1LtDGympNDKJEcas2qpveRTpRB8mJSZ/qlqPEwDsEOuLt0+eIwU6mgwqmAI=,ASrr1LttI1HuvsC2PrFwuDujbg/YSgQNaHfX/azAoNQE4i1IHIDtdBE2s4M=,ASrr1LufOiVrDB+F1RFXR4w3RaZnUqlfd1CSvspY6f3p+8e5,09/2000,ASrr1Ltv01BtKz1czizBI6gZEb0B5Ob7hoE9zM/U4UCxdXA/ydQWrg==,22,ASrr1LtJSRIg1cixc3NGUAf017wU2qFE7ehy/ylRVP8KHf6iuA==,ASrr1Lu6Y68UTCRxeSjSw+KarheTHazqfEAYXpq92RnXK9ET8Lzo
MT,Maestro,Chase,ASrr1Lu1eisqcMinN/j1aSZL+5JbAuqsWXuiSOJYoBnKIl89aHXeyQkH8ybWbjQFQg==,ASrr1Lt6go5lsKF14J37sXIQvirI6OSxjt1MCloemstU3l1Rk5QocDoM4OI57gPy,ASrr1Lu1MgUKOpSoeKx15do+X//KiLVCf4Ip9/IMckIMfkHf,05/2017,ASrr1LtiO3VararqXieSu6m4FBsUVxrv8agFOJ6oC3NfDcn/NHbfOQ==,9,ASrr1LuA6SoKIxTCln3IC5NfyirF7gyHtrxW0XxDI2cbKhgBoA==,ASrr1Lt9YCOk3Q7EvkgAM/D/Nolf36A4d7jSqMgAFkHm5L7iucPX
DS,Discover,Discover,ASrr1LsESGCNezLx8piBr1LW+uyHyRQV2rJDYpAr1YYVDnggv4xgHMNwP+KBfV+kjQ==,ASrr1Lt5QbabICB/hK5BGpCG6J5b5a+zyoQi18f9vhVMxrMRJEmxUXIBon4=,ASrr1LuE/M9WMJ0atXE+Zh1nPMi7VgPr9s8+JVY0Te3PC+H/,12/2005,ASrr1LsP79+T5pkNjv3iAa5sU9u2+oDKVyy+IAmSoeRyArHFm0T8NQ==,27,ASrr1LtuPUQyIV6et93IuiyUo+CQx4tpC7pFL2VQ3XLi8zUmKA==,ASrr1LtlIUzU1gxABhhLTe60OeUb2+Y0rYlPO630TkqnVm622Yyt
HR,Hiper,Bank of America,ASrr1LsXXAS+Gk3K5APN8mTdo/o6iqetInO1lWUUi37Z7c1WrCy9kLmJuNPvZhjG,ASrr1Lv4yzJG0BiIs6L+lNWtdz7v6/xkn8FFIQMacgEXQTwV6KXI2jugUBCLc4CvKA==,ASrr1LvRNYLqncyc5KP9S6rd8cCu8oN7sejsrSveu1unPN5W,10/2006,ASrr1LsR5A1/zes3+5T6IvHth/y9F3Qv4kC8UHVdcDOoVCznLaa//A==,19,ASrr1Ltp9bE67lkqtrkrAN+I7UvLn0K+6f4qI6T/pP2yMlZAOA==,ASrr1LumiqjLEpTi2iYG1Wp3LvI+ifS5udhJj3BHanMPs7Pn6x1D
EO,Elo,GE Capital,ASrr1LuINmVNHCFpTTygzehAMxt4d4GwQ00I58UWXvaqu/MOXmHZNEa/2xgQDptWkA==,ASrr1LvEnvXEnBSe3nvNPWqnLO/gJrhkGBzEllwJ/hGAy3PLP21UlovbBeW3G05rKxRO,ASrr1LsmQv4IfvLq58+BJ9RT7tUPyU9pw7oRzHaW6G17cAMt,01/2006,ASrr1Lt5GX+m09WHyBTjmZAK5lF8l5G/8Nhpqn8OgVCapB2kH8amnQ==,11,ASrr1LtklEYdb5PE9sf0SRGAzYVzn+mIOQi5/LJzG1xW7yDlfw==,ASrr1LslgSnbRCxczs/+mJueULmWL9aNFFlhpKVtuUwohAf4g8PT
EO,Elo,Capital One,ASrr1LvSFdln1Re1EY64bkPnuKzxzgUNzLOlIolW+mJ/gIh3G4M2MFz5xWprClObHg==,ASrr1LtiSgzJiHEjE5yNJBedO0RySUDT97eeaYkLs8gWAhHw7GWu4Wktihs=,ASrr1Lvs/0IDyYEQ0/2kJGWhAmk00WKoh2DOlGUuGtCdHn9x,06/2010,ASrr1LuwZW8PIK9FFp4f1dSRJ9tc/7G8vTOH4PAp6Awdpd4H9nwmDw==,8,ASrr1Lt5wM4wIRSJumwuFZ9Pvvjtm6QLrQ4oMT9jAXPC7Q4r6g==,ASrr1LtHqFFzXzYUCFjoqlMD0sPyJvi4y6/m5mkUpd1ypDkWTlJb
DC,Diners Club,Diners Club International,ASrr1LvkhaitYU60Vdl20tEyMta9dJpOqbHxKtVgkpJZxa8TdtwRc73MaWRBtQoXDQ==,ASrr1LsBCFRIR9sQ6o7JumT0cAHq5oSttgMp1m2fAEV3JlWENnHW6PT8dCt3En4m3ls=,ASrr1LtOF9aGqbyOZ6ZF3G17xeA2WoPEJLg0BXuqTULkFHk5,03/2020,ASrr1LuCtDYIONuE6TEtDrizfNXRYqE6ti5Hzk0Pp3PsR11UVSbO2g==,7,ASrr1LteP4z2XrB3k6UgR0YfzecvrYoYa+YZ523N54O7qaI/hw==,ASrr1Lt7hPVUXM5PmkrWDSL/165+5Nwd9EAfA/VBb2jaqaTbiBgl
MT,Maestro,Chase,ASrr1LuBj/XQGtEiu0qDfTKtF/L4peaD157nHBmigSUE5ivwFAKQXkYh3jwCEJcL,ASrr1Lv0x2kU9KOpLGMM/uYnIjFTIvB1eYD44F1cqa0Sub+sPVwfxeaxrgvKmrA=,ASrr1LsJzWdZP+7btNnxsOxUJRCDKUHLBa8mLqeZG0e3C1dP,04/2004,ASrr1LuHc0ftujn7Sv8uIeppRTXzjINgddra83fMIIWzXk9o3iQbCw==,21,ASrr1LulP/gFnKBHk0pRI+EfFbeG4IlqgkJmDODp1NgsW+bpwg==,ASrr1LuceRnGai4NZj+Zr4i0ABDU9s4r0P4U0SJ2OXEuBHuNLDdd
AX,American Express,American Express,ASrr1LvTifJLZT2RRV0TiikMcWjCk+CNoa0TCAXSTHhGwOnAlma4NtWQ1IDC4RXnYA==,ASrr1LtRYNG+jmiVhKu6BxZvQiFTC+LdcWUXbwuuknYQ+Xvgn0cWyVFJDGQL+EGjUfp1,ASrr1LuCFNQw0JxU792YIjpjZm0PjuJH0puVPARJSxQnHcn3,08/2020,ASrr1Lsjwpu7vT4rLTaeD1zoC0oId/4mjj+cMrFXw3hmD5YWglKsDg==,20,ASrr1LtWfpQRg7qQExHdLWmJtpbWxhQ2papnHPv/mcIC3PYKPw==,ASrr1LtlKXtUmMUxKcTlMaxDqWM0BNh8C7LeS5/OWWbq9rZCi/CC
HC,Hipercard,Wells Fargo,ASrr1LsKUY/EOQ3d6fSiu5FQk9XwA7SvtK5mfHvRbarr9LcXWTBK7nsIXljMw0RdOA==,ASrr1LuD7FXiR7t2Fbu0VFqgyaUCeasOv0PVCXFMN8flxelMUiMeai08sjvvwqTy8A==,ASrr1Lt9gr/RJMZTwlPIQDdCChzGwBXgujfMmE/G7i3WxBpNxQ==,08/2008,ASrr1LtnhcSZJqHuXY+n5p/FeFDlfcq76aGFZwqIsDagsxaWhduqQw==,25,ASrr1LtopxhBOZJdB3ZIsRJClrNIApnrh1FMFvLOky8rkurN+g==,ASrr1LufyUFWOX7x52g5UsDcahkI+wvTIRVJOj0yQGPBMFWk55/e
VI,Visa,GE Capital,ASrr1LvVpyWR+xHm7Dd031AmsUEV0UjHoQrTGThyIJ9NO0Suy9YCTgX7TQHWFnZUdg==,ASrr1LsF6mCCiJrM2BVWl+lnIpG1aQTiZj41SEgowwwZXeH1DPSh4bJXZ/c=,ASrr1Luxm2uTUVMyFMsMmghRZjJid83Xs+bXUSkdWSI6LYp7,10/2010,ASrr1LtVsQblrIJUJoD2uNE3ydPpd89PVERgoPPYrJ0P40iiSQCoPQ==,15,ASrr1LsqhNFbEYLXzaYc2kPh2F2jLg7lbw4yOE/TDhuazQnuPA==,ASrr1LuEEa30jJRtZqP859/Or6ZaHn0c4wyelx2f2cuvFr7ggY8=
DC,Diners Club,Diners Club International,ASrr1Ls7dQjonXOjAobGYd/q9aZ++TsXMCVKj54HnPcSlYpiDERQod/a3ib6eHDc,ASrr1Ls6z1bTb/ee0Tlwxc5ZvRA99Xg8EGV+nKGRDdGLZE7Q85FmxCy/3Ydv,ASrr1LulhQktBjwG2qk7BYMn4H68S3xzSooJ/nrCwX1aIKm+,03/2019,ASrr1LuHdElbCbeVoGDnfTo7nz/sKpCTVnqqaFbiWGfkiH53XGtA7Q==,16,ASrr1LtIWpVFzY2VXgyQsHOFBcoy+LNIrf+WKfE7gIWES9mTqQ==,ASrr1Luhrkef3QvOgIk5xjgZDF7LX3DC7UoMS7UzcG+Jq8CsYNwp
HR,Hiper,Wells Fargo,ASrr1Lsz1Rn5FwaNfZUQswBQf6PmkgDu53pF462KCNkwC6065pcPx05uDQFKy5TYIKs=,ASrr1LugizKCWnJWFpjpnnJAoVeB8MlkL2NkGqh2QCwvqEpWxe25c+UHTw==,ASrr1Lv4EPJxo5ik8k2PPBiQ+RurLMIEPbjXi1BJMTGUCAl5,03/2018,ASrr1LvswpOO0exdlpdjkMmoulWQmGMFh/IFS1ga8pAIjF0Tmifrgg==,15,ASrr1Luutp5Z6EeCeQsrMAp4hLOvZE4Qag589sZBb8x4o7rw5g==,ASrr1Luc9X+fScxkLUAdhLnQ4hUl/O8jnmZeVNMBRLF0fRtLpTDo
HC,Hipercard,Capital One,ASrr1Lug7o1AfaiTBtVB+1ks7QYGH0sPBC3/eUu2853wweS9m3CIMtJi6s37x8MjVA==,ASrr1Lvoumyt+A3RpAWGOShsxt83C1oZDeDoHdg3TrjIakOieTU8lf/mLiI=,ASrr1Lvl/wN9gm3yzTm8WRV7ZUmQk0cMFkUkh/r8iS1ZTTCW,11/2005,ASrr1Lue9YMgMCd4jJWXmV4AajsWFUHers7bEwdbQATbpC2D0PBxbw==,23,ASrr1Lu7Q08QLWklBrDyEDnb/84zsuNBLtCcY62Wj46LgR3/rA==,ASrr1LtavfR4GbR7+8yldIXNpzIJ4uvuI0GrF8aKp8sFCt7epuKj
HR,Hiper,Barclays,ASrr1Ls882O8UOTu5Q4zkulWAhpZdR3IhcCQ998sVBTZiLk/mygKzmLSzHGxUQ==,ASrr1Luf1nYrvFdCzeeW5s6vCxRfe8Dam/TMLdVL6csPs/lfDfptlXcx60qW,ASrr1LtJxUOtklrEa90wBldtZl3lZdG3EQV8FbDanQRvS3Rj,05/2013,ASrr1LunfmlswcTCmpwkvMA7r80sZbmlyedS1+ZBxvmkX2PXheWyyg==,5,ASrr1LupLVj2lbjwzKTDZPRNrGAXmvEEdBXzhg0fleWPRvwDyA==,ASrr1LvY4wrN+cTyqXu1q6XjWewd91+I+f3yc2C4qhI4nGpIPlo=
UP,UnionPay,U.S. Bancorp,ASrr1LvrEBn3SQVUz3PUvZSLkz1BKjLljwSjx5VGB9tqzEJVNH0Dox1mSMoPLmHjMQ==,ASrr1LserwIeVDfQbf8oFKUq3UkL8ETCH/SEyNe3h5ceceB0sLDwtDMq8Aku,ASrr1LvWNTiChwKdgD5cL2tI3h8EAATqO7mqTrK/yPiK52eO,03/2014,ASrr1Lvw8kSoDboLIfGFPqbTkccpkrDuL6hBlpkWbrstYXAnp/bVIQ==,2,ASrr1Lt7lphAk91lpugoE9+yNYZ7Gj3GHI3GKd1X6ClgEXXFpA==,ASrr1LsORdNZo0hvD4tcKa2rBOlApl25Sq+Qv2ILIxmwBdU2vIrc
JC,JCB,Japan Credit Bureau,ASrr1LvqjzbRqEs9wah4u1JBf+Ue8I17CIAZ9tHgx4N1iFJyuufkxJPyvN7p0JpSMw==,ASrr1LtGGafPnQKpAwvEm0l1RYfhznBim8scvB+TVyMejdPP83qzWyAL0g==,ASrr1LsFnjO+AhyfBR3JM4dtIF7CnVKflVYSetvZ3MygXGRd,12/2014,ASrr1Lsg0lFRLXZBAGqQNaaEtre0qR8VMz7hyg7qJLWQLMQGKuCULQ==,26,ASrr1LvIzz9pr0rXHoj+1x/MBQ2PUTPEcDfXwFpkX/domnjXvw==,ASrr1LvntGUX6LDwrqcJZS32t8Jd4qyUXti4MAI0L67te5lYZL5X
AX,American Express,American Express,ASrr1LvPjtfSUhnpXD4SgG8BsU3V8B6M3+zuPYacNIARwFVaVbpnNRXsdP9N66TRUw==,ASrr1Lv8YPhrB3zs56U8ylCcBTaO+W7vF85bUUt2K6Jz7p32WKlyr/REY/oKag==,ASrr1LvQdenTISP3tZQ77GAFEXlW7HV/Vr8BPTZyZIWZ1Ltr,11/2008,ASrr1LsxMz8HPLXaiG5mAjSWFuOGnKWet3L/cBI/bjTPve9fzr0prw==,12,ASrr1Lvy9Q/AN0MVZYUeGjvkoMVyOI93pu9uDoRgJu1b4d8OUg==,ASrr1LvHfXDVNrT3sYL83efmDNB17xltJlxHhzJnkh2XpqoHhV01
HC,Hipercard,Barclays,ASrr1Lu8ZeQi/hnL5B+Dkf6yNagLkx86dmXlfI7d9jruyeEy+nP2Na3c93tAV1ZAHw==,ASrr1LtSf6evTqRhOrRwANyxI5eB16vwgIze+DfGYQGhAFthv5yEBCkLEymwEMU=,ASrr1LtFPLxJz/wNUSocMnWCLFI7r4ZLvIIEuTqY6aOxEpFd,01/2012,ASrr1LuGbZ8I3qQb0YbOUWW5myhwfC7qnutqP/UBfUAHDcIMQ5/1/g==,1,ASrr1LuBY/I0ufa3MSW7pyU9sRf0sRMwLvMEogUcAV1Pr6dYkg==,ASrr1LuyfQxCHJ+lXbxVdH596+M+FvIta2NjD7qatQjJCQOA9gks
HC,Hipercard,Wells Fargo,ASrr1LsSlR26Uy5jmZQYdpjOCQWDRSiuKjeCGalz7FpAuoRec8AQ0NoHpni186Egkg==,ASrr1LvXERQ+68me5DY2EoDHspjlWTfbcBcJ6L3vMLTU5D9MOhkqk2Fc6sDow7M=,ASrr1LvUr3y80IiiaYMEPCY90eG63iY/N/Ym/Zb8SNmh9Y3c,08/2002,ASrr1LtC8pDSiRcOmc4Eg2z1Ylh9TNyNB/MRN6LjjFtVaKXLsSTJ8Q==,20,ASrr1Ls/Eb+3R1lf86fmWNaTPeuWWj2o7UfVh/Ww0Kcn4Qr50A==,ASrr1LuidHBxxOqDBalMOCwp4JPKt7TeNpHgn8e9I3rCwfN4AQsJ
HC,Hipercard,Wells Fargo,ASrr1Lv9WBFYt9lHfOQdhsn8+B86hvR1PMA4c7zTZd/2f7FUqr5m6SnqjX1fCACYkw==,ASrr1Ls8HunloZyobtMG+aleBhjsXsGMgwvKaUbLtzSiZF88+0pEFQwKao004/Hz,ASrr1LvnhLB8iwXgWhoGxc856U0wLVgNneMiS/GRFnkymAlR,06/2014,ASrr1LsIXyDaRloLP1IjsJTMEiVR+aZ1DFRylnjyrz3nPbcnygYqFw==,13,ASrr1LtG7X0qsaiTpLz8bPupehD9fd8twWDuboFUvi2Wvs7A3Q==,ASrr1LuD8CkV6QNb17JkEUFWbOmeqHjYapyDsZcy9FAWsxIzlXWV
DS,Discover,Discover,ASrr1LuM4om0wfhNgmv1GKq/VRXbLkZSd1rxFPOJWg4OUEgItFVh3SPOzYCvIXYu+Q==,ASrr1LuGOQmyf1uEOh87gzybyU3FCwrmTaSmgn4N9wG9bNTRjYUGFywB2g55,ASrr1Lt9bLv/P9Qk3klaAfXFBq37KDOQMuCYdICOWzB4IAf6,09/2015,ASrr1LsHQYxZJSY1tL/kYixA0JPNACHmoDXHxmh/CE6Z1aHh0LsdIQ==,9,ASrr1LsCCkqVR6eOKck39mnlIA13C5OVSJPd7c6bqJf1jteALg==,ASrr1Lvkg/dkeuaU8/V2Y+tquagzIk1sO42cHON//LZCR2JLA3oF
HR,Hiper,Wells Fargo,ASrr1LuYmkmUmcV1IdqBM4PR8S89tuICKv0G8WkI4t83A9uzqKjMmYPdmOsl7Zh9aQfYrw==,ASrr1LtyW69j2byYWEigp660yLj1bXLFpkSU50A1NVq2qOcXjuLb26e0zs49BT0g,ASrr1LsFdjj0UTQP2W5vni/e5s9AzII5TdB7pZi1zvHbbeqf,05/2009,ASrr1LsyzoBaUfH0sS8KPIHoJrin+gRPn5sm6GVH4lsIJ6WhrOaF+A==,15,ASrr1LuyURQ49KQ8Uzey/0NPDzQ8ymiR3Qf2rv7AmqDmEpAk+g==,ASrr1LsfZeaZMsOqXpT5auxOY/Kh4NkAHhr467mo1nCyBtYtYqta
AX,American Express,American Express,ASrr1LuUWscIXj6y4LrZDrsMLh5g2gXTHv8Y/OYWg5CCnWE9/Dubxd7Jzf3NKIdWlQ==,ASrr1LscpGxetq3SwiLT5UR1VXpa8/cPbDVgQGcrCU+6AOG0eAK57WE7EoT//Q==,ASrr1Ls8zJ34d/iAkWrd1wKFXF84j8ubskZ43BP96U+grcwu,12/2016,ASrr1Lv5R/qbCN8krAkYY2MPw6/kkfp/TIdtlG38tz+weHkOxcAV1w==,27,ASrr1Ls5Li2POMMznVF1tD7E2ps5kt89NmKLAHhT3nJdH8kFaA==,ASrr1Ls6w7oNgZ34+JtjgFhU5EgjWFXupHvuJmcrGs1gCeEXcnhU
VI,Visa,Wells Fargo,ASrr1LuZmlSUHmTbXX9Yz1O689idHLAqTP2uVZ/ZU2wmydZIAnWvZCrMBD/a4qkPVJxD,ASrr1Lsynp2Cw0VhqWJv5i/VOI9g9ASz5ZdZfxdjmrJVW8Ji1/2tH1hpiCI=,ASrr1LvZIIRzl1EFilSM5rDD5Uljc/6YUP6LMryQHlFdZFls,09/2007,ASrr1LvAMutuUutS+PLGh/cIUXMwyf2zSFrHkd4qzJRXlScPOrZE6w==,1,ASrr1LvdqkmXqshqPisJ74mlbI+KBFo8/VDhYUa2EM6QqKJqYA==,ASrr1Ls5+2s6j9lYkJQRxzr9aRaa+6+O0xfYkZh6tG4HzysfyRqR
AX,American Express,American Express,ASrr1Lu3sjAzNYqbvVzLLckTrueLgvwgvUENTfr68LpqZL+CQuakK070x/lC/6bkCA==,ASrr1LsVUtKqirm38AWOlwCYzDaNrFYniRahgI3i0Rz7NDSEC2IFiF/BpIN27zze,ASrr1Lv50sI/nFSn5u6TnpeiBPrYlz4GsN001vfxBFviIYui,09/2001,ASrr1LuOkXcGd1VgW6GCQMbU1GStFDSz+AohLcrhSBcDKILT5SZ98g==,12,ASrr1LuSKdVqvNmXoaxVyOhOQm4pwCK2lcddvR3ELt/zYmVyjw==,ASrr1LvXsq7jWs1B4Ml20ORdIEPeKcnMwtCw5dHLb0WAA6USW0Vt
DS,Discover,Discover,ASrr1LsU3kmCxy9/RD6qq88vi7BD/BSAZ7ARFDyw/3tji7TaOViG+zAdxkviyV3oBg==,ASrr1LsBFLHCTyGo0C2wyQo1iprvo6auPU641/yDAYqMgJ8ExjONTE2MHIo=,ASrr1LsG/wCdcYrtya8wc+oom2Zb5PisNzhELmE4kt1BOVOqIw==,06/2012,ASrr1LtPIR3PD5cJp+K16gwN7G/GDnJU9mQdgcm6a9DLoCHcq4HOWQ==,7,ASrr1LviXdY8k3tyUudv50MIp1QBBPzat7nLkZY7ZX5MR4eD0A==,ASrr1Lt26UlcphwfuvulZMCVXtpbDP7UONIsrqThuxoeGC3jjMTT
HR,Hiper,Chase,ASrr1LupCdwCHGkUKYF6vYGvXMJfg7BtFQff+eFFZezIlYeDAq19QLG6Y9HQQqaI,ASrr1Lv1o9wFDdOnA6NFiJsuSl3OpD3MsW9Iehoec+1Hn5bJY0/CUIRvzw==,ASrr1LsKvXG0k4Yo+JdQoATqiEpPew2VSG3xFfGVhgUrQk8m,11/2020,ASrr1LvvS/rOr5HHe0VhpFKtIJq+0laJge6NFay5jyI4ojYdjs2NYw==,26,ASrr1LukTEbmAl3SdhrrzjhPXax1puZr8e9zB7AJKJdUchiqTA==,ASrr1LsD7lf28RTH69k9q5Y5POwn9SBTJ+V7EpLRQGC0wy3wkovL
EO,Elo,U.S. Bancorp,ASrr1Lu8lFcOpCmrrqKOuM2bhh77bzempUju5zJsg1PYw9sI/4Y9e3tiDNmQbjyYJQ==,ASrr1LtVTChZ5D4FpoRmhZgpyZuHWhzEmytEh3KVoDkMD8ij9wtMRXrw9ANHTmWA,ASrr1LsdIizY5kJJmFcCC4N8FvhE6QZCwlRUQGxTf8HLEh3d,11/2017,ASrr1Luu011jJB7eLTP78SYSZdM4nPnK/QZYbp1hViqFLig8CM9+Nw==,27,ASrr1LuK07euxqVhSKH64FG1PLgoY8Tc2lfgVRu99Y8vi5P7Bg==,ASrr1Lug5pvvWCcjkgtIGIa/0VfiPknI47FsvDUxe3VpluPIohpE
MC,Mastercard,Chase,ASrr1LvGQCH1xo/79pCkajOzUOVO+CaiVRwERiMj29ndvE9+8K29iT0ZJCA62oKFzQ==,ASrr1Lsud6+kRBvBl7sC+LIh62PL/O5YBsHYnw2c951lZN3rSmIm4BB76wIsHQ==,ASrr1LsUDxLxAVRQDwV9Cecq6OpVSjTcIAl2fSB/z102wMEZ,05/2019,ASrr1LthtgdNVex+uaTPw6PGLXhOG9vteE+hA7YAfwNDqTkmS47VUw==,1,ASrr1LvpXGUSUbNWkW/Jn7fe4fSuKmFZOkXpTCiXu2kvJ8zh2Q==,ASrr1LtOp58ikBxbC0M5Mi3vtIWMJpJF6o8x2j0wmdaQGaqCiI9N
HR,Hiper,Chase,ASrr1LtmGzbhND4W6d56SXmH4BH+Wd9qNxxDzr8bt+Zb45hoDymUBcaHLY8shRc9,ASrr1LvhmSMnYKp0p38iHU6gOhj8GLgqa+Og8qU+QMGSr3g0/4zyLAaxDxXpPD4c,ASrr1LthvKTPmT8ZLPVn9YWVPim+e7DCEoMPe5dOy2y7J8Df,05/2002,ASrr1LsJdet93bzim5z8B+xg1A05S+ZTMlJ+4CwSDnGV+QeyrMe8tA==,4,ASrr1LvREDXPh2LxFmmxgoru/xJ31Hos8L5L2doKsjfpLvxBng==,ASrr1Lvg6OZQbwwmynm8g9ZCdLgwOlJGgv2FUAETctS6CYqXHhMZ
